日期,指数代码,指数名称,市盈率,数据源
2020-07-27,HSTECH,恒生科技指数,42.28,韭圈儿
2020-07-28,HSTECH,恒生科技指数,43.7,韭圈儿
2020-07-29,HSTECH,恒生科技指数,43.59,韭圈儿
2020-07-30,HSTECH,恒生科技指数,43.57,韭圈儿
2020-07-31,HSTECH,恒生科技指数,43.69,韭圈儿
2020-08-03,HSTECH,恒生科技指数,44.14,韭圈儿
2020-08-04,HSTECH,恒生科技指数,45.44,韭圈儿
2020-08-05,HSTECH,恒生科技指数,46.0,韭圈儿
2020-08-06,HSTECH,恒生科技指数,45.9,韭圈儿
2020-08-07,HSTECH,恒生科技指数,44.37,韭圈儿
2020-08-10,HSTECH,恒生科技指数,42.95,韭圈儿
2020-08-11,HSTECH,恒生科技指数,43.86,韭圈儿
2020-08-12,HSTECH,恒生科技指数,42.55,韭圈儿
2020-08-13,HSTECH,恒生科技指数,42.41,韭圈儿
2020-08-14,HSTECH,恒生科技指数,42.32,韭圈儿
2020-08-17,HSTECH,恒生科技指数,40.19,韭圈儿
2020-08-18,HSTECH,恒生科技指数,40.25,韭圈儿
2020-08-19,HSTECH,恒生科技指数,40.32,韭圈儿
2020-08-20,HSTECH,恒生科技指数,37.52,韭圈儿
2020-08-21,HSTECH,恒生科技指数,37.74,韭圈儿
2020-08-24,HSTECH,恒生科技指数,39.66,韭圈儿
2020-08-25,HSTECH,恒生科技指数,39.61,韭圈儿
2020-08-26,HSTECH,恒生科技指数,40.3,韭圈儿
2020-08-27,HSTECH,恒生科技指数,40.92,韭圈儿
2020-08-28,HSTECH,恒生科技指数,40.03,韭圈儿
2020-08-31,HSTECH,恒生科技指数,39.98,韭圈儿
2020-09-01,HSTECH,恒生科技指数,40.42,韭圈儿
2020-09-02,HSTECH,恒生科技指数,41.45,韭圈儿
2020-09-03,HSTECH,恒生科技指数,40.44,韭圈儿
2020-09-04,HSTECH,恒生科技指数,39.33,韭圈儿
2020-09-07,HSTECH,恒生科技指数,38.23,韭圈儿
2020-09-08,HSTECH,恒生科技指数,38.07,韭圈儿
2020-09-09,HSTECH,恒生科技指数,37.37,韭圈儿
2020-09-10,HSTECH,恒生科技指数,37.4,韭圈儿
2020-09-11,HSTECH,恒生科技指数,38.11,韭圈儿
2020-09-14,HSTECH,恒生科技指数,38.67,韭圈儿
2020-09-15,HSTECH,恒生科技指数,38.66,韭圈儿
2020-09-16,HSTECH,恒生科技指数,39.21,韭圈儿
2020-09-17,HSTECH,恒生科技指数,38.4,韭圈儿
2020-09-18,HSTECH,恒生科技指数,38.6,韭圈儿
2020-09-21,HSTECH,恒生科技指数,37.77,韭圈儿
2020-09-22,HSTECH,恒生科技指数,37.88,韭圈儿
2020-09-23,HSTECH,恒生科技指数,38.23,韭圈儿
2020-09-24,HSTECH,恒生科技指数,37.28,韭圈儿
2020-09-25,HSTECH,恒生科技指数,36.85,韭圈儿
2020-09-28,HSTECH,恒生科技指数,37.35,韭圈儿
2020-09-29,HSTECH,恒生科技指数,37.43,韭圈儿
2020-09-30,HSTECH,恒生科技指数,38.24,韭圈儿
2020-10-05,HSTECH,恒生科技指数,38.97,韭圈儿
2020-10-06,HSTECH,恒生科技指数,39.31,韭圈儿
2020-10-07,HSTECH,恒生科技指数,40.2,韭圈儿
2020-10-08,HSTECH,恒生科技指数,40.2,韭圈儿
2020-10-09,HSTECH,恒生科技指数,40.24,韭圈儿
2020-10-12,HSTECH,恒生科技指数,41.36,韭圈儿
2020-10-13,HSTECH,恒生科技指数,41.36,韭圈儿
2020-10-14,HSTECH,恒生科技指数,42.19,韭圈儿
2020-10-15,HSTECH,恒生科技指数,40.49,韭圈儿
2020-10-16,HSTECH,恒生科技指数,41.2,韭圈儿
2020-10-19,HSTECH,恒生科技指数,41.33,韭圈儿
2020-10-20,HSTECH,恒生科技指数,41.59,韭圈儿
2020-10-21,HSTECH,恒生科技指数,41.8,韭圈儿
2020-10-22,HSTECH,恒生科技指数,41.73,韭圈儿
2020-10-23,HSTECH,恒生科技指数,41.3,韭圈儿
2020-10-26,HSTECH,恒生科技指数,41.3,韭圈儿
2020-10-27,HSTECH,恒生科技指数,42.0,韭圈儿
2020-10-28,HSTECH,恒生科技指数,43.08,韭圈儿
2020-10-29,HSTECH,恒生科技指数,43.32,韭圈儿
2020-10-30,HSTECH,恒生科技指数,42.27,韭圈儿
2020-11-02,HSTECH,恒生科技指数,42.89,韭圈儿
2020-11-03,HSTECH,恒生科技指数,42.94,韭圈儿
2020-11-04,HSTECH,恒生科技指数,41.97,韭圈儿
2020-11-05,HSTECH,恒生科技指数,49.71,韭圈儿
2020-11-06,HSTECH,恒生科技指数,48.65,韭圈儿
2020-11-09,HSTECH,恒生科技指数,49.73,韭圈儿
